Ticker,Price,PreviousClose,Change(%),RSI,Suggestion
AAL,15.1300,15.7700,-4.0583%,45.9354,-
AAPL,129.4100,132.6900,-2.4719%,54.957,-
AIR,34.3600,36.2200,-5.1353%,56.555,-
AMD,92.3000,91.7100,0.6433%,53.4992,-
AZN,50.5200,49.9900,1.0602%,45.078,-
BA,202.7200,214.0600,-5.2976%,37.2818,-
BABA,227.8500,232.7300,-2.0969%,33.1053,-
BAC,30.0300,30.3100,-0.9238%,62.0891,-
BKNG,2164.0800,2227.2700,-2.8371%,58.7541,-
BP.LON,254.5000,254.8000,-0.1177%,45.5459,-
BRK-B,228.4500,231.8700,-1.4750%,54.5618,-
BYND,125.5700,125.0000,0.4560%,33.9499,BUY
CINE.LON,61.5200,64.1000,-4.0250%,53.6487,-
CRM,220.3100,222.5300,-0.9976%,37.0934,-
DAI.DE,56.9000,57.7900,-1.5401%,51.5244,-
DIS,177.6800,181.1800,-1.9318%,67.7902,SELL
DOM.LON,326.2000,316.0000,3.2278%,49.5102,-
F,8.5200,8.7900,-3.0717%,40.0962,-
FB,268.9400,273.1600,-1.5449%,43.8355,-
FDX,253.1900,259.6200,-2.4767%,27.7287,-
GRG.LON,1771.0000,1790.0000,-1.0615%,55.2365,-
GSK,37.7400,36.8000,2.5543%,59.0435,-
IAG,3.9300,3.6700,7.0845%,63.2777,-
INTC,49.6700,49.8200,-0.3011%,55.4095,-
IRBT,79.3800,80.2900,-1.1334%,45.9654,-
KO,52.7600,54.8400,-3.7929%,47.522,-
LLOY.LON,34.8350,36.4400,-4.4045%,46.5143,-
MCFE,17.1800,16.6900,2.9359%,55.3747,-
MKS.LON,131.4000,136.3000,-3.5950%,48.37,-
MSFT,217.6900,222.4200,-2.1266%,48.9094,-
NFLX,522.8600,540.7300,-3.3048%,53.3844,-
NG,10.3500,9.6700,7.0321%,52.5928,-
NGAS.LON,0.0126,0.0123,2.4390%,49.4224,-
NKE,140.1000,141.4700,-0.9684%,55.5105,-
NVDA,524.5400,522.2000,0.4481%,47.907,-
PFE,36.8100,36.8100,0.0000%,42.8282,-
PG,137.8200,139.1400,-0.9487%,48.8367,-
PTON,145.9600,151.7200,-3.7965%,58.4939,-
RDSA.LON,1302.2000,1297.8000,0.3390%,47.8349,-
RTN.LON,59.6000,64.2000,-7.1651%,42.4683,-
SPLK,166.3700,169.8900,-2.0719%,41.1625,-
TSCO,139.7100,140.5800,-0.6189%,46.4726,-
TSLA,729.7700,705.6700,3.4152%,71.86,-
TWTR,54.5300,54.1500,0.7018%,68.2007,-
UBER,51.1400,51.0000,0.2745%,50.9805,-
ULVR.LON,4461.0000,4392.0000,1.5710%,53.0894,-
VOW3.DE,148.4800,152.4200,-2.5850%,49.9999,-
WFC,29.7000,30.1800,-1.5905%,57.9941,-
WMT,146.5300,144.1500,1.6511%,52.6401,-
