Adj Close,Open,Change,RSI,Ticker,Suggestion
16.86,16.88,-0.12%,62.05,AAL,-
127.81,127.41,0.31%,70.25,AAPL,-
34.29,35.84,-4.32%,65.75,AIR,SELL
96.85,97.04,-0.2%,70.65,AMD,SELL
1706.4,1620.0,5.33%,67.01,AML.L,-
3240.96,3176.01,2.05%,63.6,AMZN,-
50.93,51.8,-1.68%,35.41,AZN,-
225.87,229.33,-1.51%,56.72,BA,-
261.89,257.74,1.61%,43.15,BABA,BUY
28.72,28.8,-0.28%,56.96,BAC,-
2098.71,2118.2,-0.92%,57.87,BKNG,-
272.6,271.95,0.24%,58.13,BP.L,-
221.91,225.48,-1.58%,35.72,BRK-B,-
139.37,138.15,0.88%,49.71,BYND,-
37.7,37.8,-0.26%,50.08,CAR,-
63.3,64.72,-2.19%,60.93,CINE.L,-
223.62,221.48,0.97%,36.9,CRM,BUY
58.77,58.17,1.03%,66.67,DAI.DE,-
173.12,173.99,-0.5%,74.31,DIS,SELL
326.4,335.0,-2.57%,50.25,DOM.L,-
9.04,9.17,-1.42%,51.49,F,-
275.67,274.76,0.33%,47.45,FB,-
288.81,287.38,0.5%,52.4,FDX,-
1763.0,1772.88,-0.56%,45.34,GOOG,-
1692.0,1700.0,-0.47%,49.12,GRG.L,-
36.88,37.09,-0.57%,43.32,GSK,-
3.63,3.63,0.0%,57.19,IAG,-
51.12,50.71,0.81%,65.16,INTC,-
79.54,78.66,1.12%,57.95,IRBT,-
39.29,36.2,8.54%,66.78,JMIA,-
53.06,53.6,-1.01%,52.81,KO,-
36.28,37.03,-2.03%,51.85,LLOY.L,-
213.8,214.88,-0.5%,55.12,MCD,-
15.33,15.63,-1.92%,38.32,MCFE,-
138.65,136.45,1.61%,59.1,MKS.L,-
219.28,214.75,2.11%,63.96,MSFT,-
524.83,520.11,0.91%,65.54,NFLX,-
10.48,10.24,2.34%,56.76,NG,-
0.01,0.01,0.0%,,NGAS.L,-
138.34,139.07,-0.52%,62.88,NKE,-
529.7,536.9,-1.34%,48.97,NVDA,-
37.84,38.18,-0.89%,41.2,PFE,-
137.27,136.71,0.41%,46.06,PG,-
134.0,128.7,4.12%,72.32,PTON,-
1392.4,1382.6,0.71%,61.35,RDSA.L,-
67.7,64.0,5.78%,53.92,RTN.L,-
51.65,52.11,-0.88%,66.55,SNAP,SELL
162.34,161.8,0.33%,37.14,SPLK,BUY
144.23,141.15,2.18%,70.34,TSCO,-
622.77,628.23,-0.87%,61.9,TSLA,-
54.03,54.77,-1.35%,85.16,TWTR,SELL
50.49,51.18,-1.35%,47.37,UBER,-
4381.0,4318.0,1.46%,44.91,ULVR.L,BUY
155.6,151.6,2.64%,65.74,VOW3.DE,-
29.65,29.64,0.03%,65.79,WFC,-
21.27,22.03,-3.45%,43.29,WKHS,-
145.43,146.24,-0.55%,35.58,WMT,-
