Adj Close,Open,Change,RSI,Ticker,Suggestion
16.06,,nan%,52.67,AAL,-
136.69,,nan%,79.3,AAPL,-
35.78,,nan%,69.18,AIR,-
91.6,,nan%,47.24,AMD,-
1832.8,,nan%,70.72,AML.L,-
3283.96,,nan%,68.54,AMZN,-
49.38,,nan%,36.43,AZN,-
216.09,,nan%,43.57,BA,-
222.36,,nan%,18.6,BABA,-
30.13,,nan%,67.14,BAC,-
2137.92,,nan%,62.81,BKNG,-
263.0,,nan%,48.31,BP.L,-
228.41,,nan%,59.07,BRK-B,-
126.44,,nan%,26.98,BYND,-
36.55,,nan%,47.25,CAR,-
65.16,,nan%,61.7,CINE.L,-
224.64,,nan%,40.78,CRM,-
58.65,,nan%,60.26,DAI.DE,-
178.86,,nan%,76.93,DIS,-
328.6,,nan%,52.57,DOM.L,-
8.89,,nan%,47.33,F,-
277.0,,nan%,56.17,FB,-
262.94,,nan%,26.65,FDX,-
1776.09,,nan%,58.17,GOOG,-
1837.0,,nan%,67.76,GRG.L,-
36.29,,nan%,39.89,GSK,-
3.54,,nan%,47.08,IAG,-
47.07,,nan%,40.7,INTC,-
87.08,,nan%,71.17,IRBT,-
40.36,,nan%,53.93,JMIA,-
54.16,,nan%,63.0,KO,-
38.6,,nan%,62.31,LLOY.L,-
214.02,,nan%,56.48,MCD,-
16.24,,nan%,45.17,MCFE,-
138.6,,nan%,57.52,MKS.L,-
224.96,,nan%,69.19,MSFT,-
519.12,,nan%,55.27,NFLX,-
9.79,,nan%,38.75,NG,-
0.01,,nan%,,NGAS.L,-
142.43,,nan%,64.22,NKE,-
516.0,,nan%,37.08,NVDA,-
36.82,,nan%,37.0,PFE,-
138.68,,nan%,55.62,PG,-
152.18,,nan%,65.97,PTON,-
1327.6,,nan%,47.2,RDSA.L,-
67.25,,nan%,54.76,RTN.L,-
48.26,,nan%,40.42,SNAP,-
175.55,,nan%,51.1,SPLK,-
143.29,,nan%,51.3,TSCO,-
663.69,,nan%,61.26,TSLA,-
54.43,,nan%,69.69,TWTR,-
51.97,,nan%,51.55,UBER,-
4310.0,,nan%,41.08,ULVR.L,-
152.76,,nan%,58.54,VOW3.DE,-
29.93,,nan%,60.74,WFC,-
21.32,,nan%,43.63,WKHS,-
145.22,,nan%,45.67,WMT,-
