AAPL,AMZN,BP.L
112.0,3116.219970703125,262.04998779296875
112.0,3116.219970703125,262.04998779296875
112.0,3116.219970703125,262.04998779296875
115.36000061035156,3102.969970703125,257.1000061035156
115.54000091552734,3156.1298828125,259.0
112.12999725341797,3078.10009765625,255.89999389648438
110.33999633789062,3008.72998046875,252.14999389648438
106.83999633789062,2954.909912109375,245.75
106.83999633789062,2954.909912109375,245.75
106.83999633789062,2954.909912109375,245.75
110.08000183105469,2960.469970703125,236.0500030517578
111.80999755859375,3128.989990234375,242.0
107.12000274658203,2999.860107421875,239.1999969482422
108.22000122070312,3019.7900390625,232.39999389648438
112.27999877929688,3095.1298828125,233.3000030517578
112.27999877929688,3095.1298828125,233.3000030517578
112.27999877929688,3095.1298828125,233.3000030517578
114.95999908447266,3174.050048828125,234.4499969482422
114.08999633789062,3144.8798828125,229.3000030517578
115.80999755859375,3148.72998046875,225.1999969482422
116.79000091552734,3221.260009765625,218.1999969482422
113.0199966430664,3125.0,214.39999389648438
113.0199966430664,3125.0,214.39999389648438
113.0199966430664,3125.0,214.39999389648438
