Adj Close,Date,Ticker,RSI
114.97000122070312,2020-10-08,AAPL,54.63627625192693
114.97000122070312,2020-10-08,AAPL,54.63627625192693
30.260000228881836,2020-10-08,AIG,73.1202565136233
50.75,2020-10-08,AML.L,40.02874089916739
3190.550048828125,2020-10-08,AMZN,55.70502456261616
18.040000915527344,2020-10-08,BHC,69.71995902030095
17.489999771118164,2020-10-08,BP,40.34908084102202
3005.0,2020-10-08,EUE.L,99.9793941945552
263.760009765625,2020-10-08,FB,54.77735662171845
314.1000061035156,2020-10-08,HSBA.L,58.10226532263538
26.309999465942383,2020-10-08,HDLV.L,65.21385340273193
107.5,2020-10-08,IAG.L,41.566690865058625
129.7100067138672,2020-10-08,NKE,74.70536560803086
225.8000030517578,2020-10-08,MCD,65.5217146958707
50.459999084472656,2020-10-08,KO,61.79611231548247
123.08999633789062,2020-10-08,DIS,39.25031920516558
141.36000061035156,2020-10-08,WMT,62.47203625139652
202.97999572753906,2020-10-08,v,55.495124383482626
38.790000915527344,2020-10-08,VHYL.L,38.61783345096196
9.891500473022461,2020-10-08,UKDV.L,48.85115055139851
497.54998779296875,2020-10-08,IUKP.L,68.11335279673455
13853.0,2020-10-08,PHGP.L,15.663802516239784
25.915000915527344,2020-10-08,VEUR.L,
111.08000183105469,2020-10-08,EXS1.DE,55.86048231585464
50.3125,2020-10-08,VUSA.L,69.06735047921683
215.14999389648438,2020-10-08,BRKB,
46.625,2020-10-08,VFEM.L,38.396642274261055
73.66999816894531,2020-10-08,VWRL.L,67.10293860729229
26.267499923706055,2020-10-08,VUKG.L,57.22567747985073
32.70500183105469,2020-10-08,EXW1.DE,49.8527720804647
1145.0,2020-10-08,IITU.L,58.467109057360794
649.9149780273438,2020-10-08,CNDX.L,67.40767779158094
50272.5,2020-10-08,CNX1.L,
107.0999984741211,2020-10-08,BARC.L,74.00314680290508
995.5999755859375,2020-10-08,RDSA.L,48.24417959062541
215.6999969482422,2020-10-08,TSCO.L,49.806313734408995
32.70500183105469,2020-10-08,EXW1.DE,49.8527720804647
588.0,2020-10-08,ISF.L,
949.5,2020-10-08,INRG.L,
25.0,2020-10-08,NKLA,45.54881706134689
425.9200134277344,2020-10-08,TSLA,54.946718903119645
