Adj Close,Ticker,RSI
98.4800033569336,EXS1.DE,6.631082145261487
29.7450008392334,EXW1.DE,6.885466695900689
106.18000030517578,SAP,10.811559690711064
105.06999969482422,SAPGF,13.350654002220821
77.5199966430664,NVS,14.15352765237273
283.8800048828125,MA,15.582100959342853
70.11000061035156,VWRL.L,16.311452534035524
77.5,NVSEF,16.78059304928317
35.70000076293945,CSCO,17.251382837722872
43.875,INTC,18.82175166103407
47.8224983215332,VUSA.L,19.055703995637657
13785.5,PHGP.L,19.501815434080143
63.349998474121094,NVO,19.969859584860245
135.3350067138672,JNJ,20.265572017926004
56.56999969482422,UL,20.874998878975887
74.22000122070312,MRK,21.21784122497283
142.5399932861328,BYND,21.570255175241556
18.579999923706055,BEN,21.597644782165602
111.44999694824219,NSRGF,22.415712781708606
129.6999969482422,LLY,22.841397177150526
623.6900024414062,CNDX.L,23.149895412620324
215.14999389648438,AMGN,23.22964878724555
111.80000305175781,NSRGY,23.48400287607683
211.1999969482422,MCD,23.540830667752914
211.2899932861328,MCD,23.62860867186086
40.04249954223633,RHHBY,24.175157243343136
180.34500122070312,V,24.219818297898883
180.35000610351562,V,24.223578327251886
55.790000915527344,ORCL,24.416085154761547
2.3522000312805176,AMC,24.479063811604675
1291.800048828125,GSK.L,25.129136602850565
56.290000915527344,UN,25.162622078429024
263.17999267578125,HD,25.317528156274605
175.875,UNP,25.908136139453845
25.795000076293945,WORK,26.22000784487078
34.29499816894531,BSX,26.806756254793726
200.85000610351562,BRK-B,27.12036143004633
26.426000595092773,BAC-pm,27.267499874416814
156.74000549316406,LOW,27.40673905172622
9.354999542236328,CS,27.846640389354334
18.294200897216797,RKT,28.004086827842144
99.47000122070312,MDT,28.087020007158657
444.7349853515625,ADBE,28.090353558947015
7766.0,AZN.L,28.119042685744986
119.33999633789062,NKE,28.330975413027687
119.43000030517578,NKE,28.47842641708384
30.729999542236328,CHL,28.6922984198858
132.3699951171875,PEP,28.945913711289762
5.074999809265137,ET,29.03224677241988
49.95000076293945,AZN,29.060849354476943
10.90999984741211,LFC,29.31052494043523
47.595001220703125,KO,29.679243670226
24.552499771118164,VUKG.L,29.692181768285252
230.39999389648438,CRM,29.764191941315488
47.64500045776367,KO,29.96014376545908
301.0799865722656,UNH,30.217265562381385
35.05500030517578,PFE,30.494229556471325
135.49000549316406,PG,30.690314168769902
12.705499649047852,PMO,31.434722713573535
346.510009765625,AVGO,31.53485555138157
24.774999618530273,HDLV.L,31.642554507402266
18.25,NKLA,31.828902934565946
24.829999923706055,SYF,32.13943344051776
17.827199935913086,HPQ,32.161199656096784
15.430000305175781,BP,32.54868115836439
156.09249877929688,UPS,32.61782977636193
89.13999938964844,MKS.L,32.78552770769994
42.03239822387695,CMCSA,33.35530308904033
26.890100479125977,TBC,33.569742493504336
388.2139892578125,TSLA,33.62329300423056
388.2300109863281,TSLA,33.62821660303592
20.68000030517578,PNGAY,33.698513714810886
201.06500244140625,MSFT,33.99533239390691
137.99000549316406,WMT,34.1466118616798
138.0,WMT,34.17222184891992
64.34629821777344,LRLCY,34.57018719910867
7.954999923706055,KGC,34.609383545655376
109.0250015258789,TMUS,34.854684321412506
17.459999084472656,SPCE,34.89607205058424
93.55999755859375,LVMUY,35.02878366624961
58.04999923706055,BMY,35.13398410841745
56.70989990234375,VZ,35.180505052579036
215.19000244140625,ACN,35.33004510617147
111.3644027709961,IBM,35.411601365280816
356.8500061035156,COST,35.455934253765776
495.210205078125,NVDA,35.85462816410103
495.4659118652344,NVDA,35.918359173379244
103.0,VOD.L,36.08791188241263
474.6199951171875,NFLX,36.23988488978988
474.75,NFLX,36.280709499273875
4.0229997634887695,ACB,36.369368112414854
108.05999755859375,AAPL,36.608264749012314
360.0,ASML,36.74192684857361
3030.18994140625,AMZN,36.80959035330524
184.77499389648438,PYPL,36.92215929687014
41.09000015258789,TWTR,37.201423183866886
205.5,TSCO.L,37.34992824801225
206.30999755859375,PH,37.35010217691436
23.398099899291992,BAC,37.450848055922364
120.0999984741211,DIS,37.87614195081216
33.33000183105469,UBER,37.94334634591745
120.16999816894531,DIS,38.00216995199019
256.739990234375,FDX,38.50026320054288
103.86000061035156,ABT,38.80653265378606
110.80010223388672,PTON,39.5481406416555
96.81999969482422,JPM,39.597220817407326
24.399999618530273,BML-pl,39.83309998977622
102.95999908447266,AZNCF,39.99756307203945
5.034999847412109,TWO,40.04466228358707
58.79999923706055,AMAT,40.10297121489748
69.47000122070312,CVX,40.317467476334755
83.61000061035156,TSM,40.42635548085727
16.315000534057617,BHC,40.497351067933835
26.885000228881836,T,40.67932776275947
32.57500076293945,XOM,40.79438658687705
26.510000228881836,GOLD,40.998377384709876
73.0250015258789,NEE,41.45457302209374
20.510000228881836,MGM,41.733717635529494
24.774999618530273,BML-pj,42.01891232690421
26.165000915527344,FOXA,42.53377242781847
96.44000244140625,IAG.L,42.53985581848549
13.770000457763672,CICHY,42.699882110450496
259.8450012207031,FB,43.01865200898361
130.9199981689453,TM,43.41892263337925
5.90500020980835,GPRO,43.67312763712906
122.2300033569336,QCOM,44.04107024820139
143.5,TXN,44.207363862978696
3.055000066757202,SOL,44.85368960831544
39.71500015258789,EXC,45.241193282663325
5.605000019073486,TLRY,45.24246647242312
0.9559999704360962,UXIN,45.58038654824884
26.013999938964844,CIHKY,47.52066719479016
0.699999988079071,CICHF,48.27040574934286
8.47760009765625,ACGBY,48.555157125048986
16.579999923706055,EPD,48.629895360787216
226.16000366210938,DHR,49.7078957419436
965.4000244140625,RDSA.L,49.74663915145876
