AAPL,MKS.L,AMZN,BP.L
123.75,138.5,3158.0,273.79998779296875
124.37999725341797,137.14999389648438,3177.2900390625,272.6000061035156
121.77999877929688,143.0,3104.199951171875,272.6000061035156
123.23999786376953,136.75,3101.489990234375,284.75
122.41000366210938,129.64999389648438,3116.419921875,275.25
122.41000366210938,129.64999389648438,3116.419921875,275.25
122.41000366210938,129.64999389648438,3116.419921875,275.25
121.77999877929688,134.75,3156.969970703125,269.75
127.87999725341797,137.14999389648438,3165.1201171875,270.75
127.80999755859375,138.64999389648438,3240.9599609375,272.6000061035156
128.6999969482422,139.14999389648438,3236.080078125,269.3500061035156
126.66000366210938,133.60000610351562,3201.64990234375,271.3500061035156
126.66000366210938,133.60000610351562,3201.64990234375,271.3500061035156
126.66000366210938,133.60000610351562,3201.64990234375,271.3500061035156
128.22999572753906,128.85000610351562,3206.179931640625,258.04998779296875
131.8800048828125,131.64999389648438,3206.52001953125,258.54998779296875
130.9600067138672,138.39999389648438,3185.27001953125,265.75
131.97000122070312,138.60000610351562,3172.68994140625,263.0
131.97000122070312,138.60000610351562,3172.68994140625,263.0
131.97000122070312,138.60000610351562,3172.68994140625,263.0
131.97000122070312,138.60000610351562,3172.68994140625,263.0
136.69000244140625,138.60000610351562,3283.9599609375,263.0
134.8699951171875,140.85000610351562,3322.0,262.3500061035156
134.8699951171875,138.9257049560547,3322.0,262.29998779296875
