AAL,AAPL,AIR,AMD,AML.L,AMZN,AZN,BA,BABA,BAC,BKNG,BP.L,BRK-B,BYND,CAR,CINE.L,CRM,DAI.DE,DIS,DOM.L,F,FB,FDX,GOOG,GRG.L,GSK,IAG,INTC,IRBT,JMIA,KO,LLOY.L,MCD,MCFE,MKS.L,MSFT,NFLX,NG,NGAS.L,NKE,NVDA,PFE,PG,PTON,RDSA.L,RTN.L,SNAP,SPLK,TSCO,TSLA,TWTR,UBER,ULVR.L,VOW3.DE,WFC,WKHS,WMT
17.209999084472656,123.75,34.029998779296875,94.06999969482422,1633.0,3158.0,54.2599983215332,238.1699981689453,264.0,29.09000015258789,2128.780029296875,273.79998779296875,229.24000549316406,136.94000244140625,38.400001525878906,62.2599983215332,227.6999969482422,57.70000076293945,153.67999267578125,330.3999938964844,9.220000267028809,285.5799865722656,296.37628173828125,1819.47998046875,1776.0,37.560001373291016,3.700000047683716,50.20000076293945,76.54000091552734,33.25,52.9900016784668,37.334999084472656,208.88999938964844,15.014419555664062,138.5,214.2899932861328,515.780029296875,10.470000267028809,,138.75,544.27001953125,41.25,137.67999267578125,116.62999725341797,1401.199951171875,74.6500015258789,49.45000076293945,155.6199951171875,137.22000122070312,641.760009765625,47.900001525878906,53.79999923706055,4335.0,144.44000244140625,29.34000015258789,21.229999542236328,147.57058715820312
17.6299991607666,124.37999725341797,34.27000045776367,92.91999816894531,1573.0,3177.2900390625,54.720001220703125,236.57000732421875,266.0899963378906,28.93000030517578,2086.64990234375,272.6000061035156,228.19000244140625,140.72000122070312,37.650001525878906,61.0,227.86000061035156,57.5,153.72000122070312,332.3999938964844,9.25,283.3999938964844,300.77642822265625,1818.550048828125,1756.0,37.63999938964844,3.6500000953674316,50.689998626708984,78.0999984741211,35.5,53.18000030517578,37.19499969482422,208.38999938964844,15.4024658203125,137.14999389648438,216.00999450683594,512.6599731445312,10.5,,139.1199951171875,534.0,42.560001373291016,138.0500030517578,118.25,1392.5999755859375,70.0,50.0,160.97000122070312,136.55999755859375,649.8800048828125,47.43000030517578,53.0099983215332,4354.0,144.1199951171875,28.940000534057617,21.360000610351562,148.90570068359375
17.15999984741211,121.77999877929688,34.869998931884766,89.83000183105469,1601.0,3104.199951171875,54.040000915527344,232.05999755859375,263.79998779296875,28.799999237060547,2107.110107421875,272.6000061035156,227.50999450683594,136.92999267578125,39.33000183105469,62.540000915527344,220.57000732421875,57.52000045776367,154.42999267578125,335.3999938964844,9.449999809265137,277.9200134277344,294.6601257324219,1784.1300048828125,1704.0,37.84000015258789,3.559999942779541,50.06999969482422,76.70999908447266,33.470001220703125,53.33000183105469,37.25,208.69000244140625,15.720863342285156,143.0,211.8000030517578,493.6000061035156,9.949999809265137,,138.7899932861328,517.22998046875,41.849998474121094,136.41000366210938,110.79000091552734,1383.800048828125,68.80000305175781,49.150001525878906,155.58999633789062,135.5800018310547,604.47998046875,47.22999954223633,53.790000915527344,4352.0,147.44000244140625,29.049999237060547,21.040000915527344,147.72999572753906
17.989999771118164,123.23999786376953,34.060001373291016,91.66000366210938,1556.0,3101.489990234375,53.88999938964844,234.42999267578125,264.8699951171875,29.110000610351562,2104.8701171875,284.75,227.35000610351562,137.4600067138672,40.11000061035156,61.540000915527344,222.9199981689453,56.31999969482422,154.69000244140625,331.6000061035156,9.119999885559082,277.1199951171875,290.25,1775.3299560546875,1679.0,37.970001220703125,3.569999933242798,50.2599983215332,76.51000213623047,37.810001373291016,53.04999923706055,35.66999816894531,208.0399932861328,15.870112419128418,136.75,210.52000427246094,501.0899963378906,10.0,,137.5800018310547,518.8900146484375,41.72999954223633,135.50999450683594,117.98999786376953,1434.800048828125,66.19999694824219,53.150001525878906,153.49000549316406,135.9499969482422,627.0700073242188,51.209999084472656,54.349998474121094,4395.0,144.39999389648438,29.489999771118164,21.135000228881836,147.0399932861328
17.049999237060547,122.41000366210938,34.02000045776367,91.6500015258789,1417.0,3116.419921875,54.27000045776367,230.3300018310547,264.5400085449219,28.56999969482422,2089.2099609375,275.25,226.38999938964844,138.6999969482422,39.06999969482422,62.81999969482422,222.4199981689453,55.5099983215332,175.72000122070312,324.6000061035156,9.020000457763672,273.54998779296875,289.4700012207031,1781.77001953125,1657.0,37.59000015258789,3.5399999618530273,49.72999954223633,74.31999969482422,38.130001068115234,53.349998474121094,34.06999969482422,207.75999450683594,15.720863342285156,129.64999389648438,213.25999450683594,503.2200012207031,9.949999809265137,,137.41000366210938,520.530029296875,41.119998931884766,136.50999450683594,117.0999984741211,1394.800048828125,61.79999923706055,53.33000183105469,155.25,138.66000366210938,609.989990234375,51.439998626708984,52.630001068115234,4420.0,140.10000610351562,29.079999923706055,21.780000686645508,147.0
17.049999237060547,122.41000366210938,34.02000045776367,91.6500015258789,1417.0,3116.419921875,54.27000045776367,230.3300018310547,264.5400085449219,28.56999969482422,2089.2099609375,275.25,226.38999938964844,138.6999969482422,39.06999969482422,62.81999969482422,222.4199981689453,55.5099983215332,175.72000122070312,324.6000061035156,9.020000457763672,273.54998779296875,289.4700012207031,1781.77001953125,1657.0,37.59000015258789,3.5399999618530273,49.72999954223633,74.31999969482422,38.130001068115234,53.349998474121094,34.06999969482422,207.75999450683594,15.720863342285156,129.64999389648438,213.25999450683594,503.2200012207031,9.949999809265137,,137.41000366210938,520.530029296875,41.119998931884766,136.50999450683594,117.0999984741211,1394.800048828125,61.79999923706055,53.33000183105469,155.25,138.66000366210938,609.989990234375,51.439998626708984,52.630001068115234,4420.0,140.10000610351562,29.079999923706055,21.780000686645508,147.0
17.049999237060547,122.41000366210938,34.02000045776367,91.6500015258789,1417.0,3116.419921875,54.27000045776367,230.3300018310547,264.5400085449219,28.56999969482422,2089.2099609375,275.25,226.38999938964844,138.6999969482422,39.06999969482422,62.81999969482422,222.4199981689453,55.5099983215332,175.72000122070312,324.6000061035156,9.020000457763672,273.54998779296875,289.4700012207031,1781.77001953125,1657.0,37.59000015258789,3.5399999618530273,49.72999954223633,74.31999969482422,38.130001068115234,53.349998474121094,34.06999969482422,207.75999450683594,15.720863342285156,129.64999389648438,213.25999450683594,503.2200012207031,9.949999809265137,,137.41000366210938,520.530029296875,41.119998931884766,136.50999450683594,117.0999984741211,1394.800048828125,61.79999923706055,53.33000183105469,155.25,138.66000366210938,609.989990234375,51.439998626708984,52.630001068115234,4420.0,140.10000610351562,29.079999923706055,21.780000686645508,147.0
16.700000762939453,121.77999877929688,33.7599983215332,94.77999877929688,1529.199951171875,3156.969970703125,50.029998779296875,228.6199951171875,256.0299987792969,28.219999313354492,2066.010009765625,269.75,222.85000610351562,137.72999572753906,37.310001373291016,64.0,221.27000427246094,56.369998931884766,169.3000030517578,328.20001220703125,8.90999984741211,274.19000244140625,285.5400085449219,1760.06005859375,1669.0,36.83000183105469,3.4600000381469727,50.470001220703125,76.16000366210938,37.029998779296875,53.27000045776367,35.72999954223633,211.9199981689453,15.322866439819336,134.75,214.1999969482422,522.4199829101562,9.819999694824219,,136.27999877929688,532.3499755859375,39.209999084472656,135.85000610351562,121.91000366210938,1360.199951171875,61.29999923706055,51.599998474121094,159.3800048828125,140.52999877929688,639.8300170898438,52.02000045776367,51.459999084472656,4363.0,139.67999267578125,28.639999389648438,21.389999389648438,145.64999389648438
17.010000228881836,127.87999725341797,35.34000015258789,97.12000274658203,1628.199951171875,3165.1201171875,50.83000183105469,229.5,255.11000061035156,28.639999389648438,2098.050048828125,270.75,224.3800048828125,137.61000061035156,37.65999984741211,63.220001220703125,220.14999389648438,57.97999954223633,173.94000244140625,330.0,9.149999618530273,275.54998779296875,285.739990234375,1767.77001953125,1683.0,36.81999969482422,3.609999895095825,50.66999816894531,78.2300033569336,36.290000915527344,53.84000015258789,36.650001525878906,214.86000061035156,15.4024658203125,137.14999389648438,214.1300048828125,519.780029296875,10.220000267028809,,139.38999938964844,534.4199829101562,38.709999084472656,136.64999389648438,127.77999877929688,1366.4000244140625,64.0,51.349998474121094,161.8000030517578,141.1300048828125,633.25,52.81999969482422,51.0,4302.0,150.32000732421875,29.729999542236328,21.850000381469727,145.5800018310547
16.860000610351562,127.80999755859375,34.290000915527344,96.8499984741211,1706.4000244140625,3240.9599609375,50.93000030517578,225.8699951171875,261.8900146484375,28.719999313354492,2098.7099609375,272.6000061035156,221.91000366210938,139.3699951171875,37.70000076293945,63.29999923706055,223.6199951171875,58.77000045776367,173.1199951171875,326.3999938964844,9.039999961853027,275.6700134277344,288.80999755859375,1763.0,1692.0,36.880001068115234,3.630000114440918,51.119998931884766,79.54000091552734,39.290000915527344,53.060001373291016,36.279998779296875,213.8000030517578,15.253217697143555,138.64999389648438,219.27999877929688,524.8300170898438,10.479999542236328,,138.33999633789062,529.7000122070312,37.84000015258789,137.27000427246094,134.0,1392.4000244140625,67.69999694824219,51.650001525878906,162.33999633789062,144.22999572753906,622.77001953125,54.029998779296875,50.4900016784668,4381.0,155.60000610351562,29.649999618530273,21.270000457763672,145.42999267578125
