F,AAPL,AML.L,AZN,CINE.L,KO,DOM.L,GSK,GRG.L,IAG,INTC,LLOY.L,MCFE,MCD,NG,AMD,RDSA.L,TSLA,NGAS.L,NKE,WKHS,PG,FB,BP.L,BAC,VOW3.DE,PFE,MSFT,GOOG,AMZN,DIS,BABA,BRK-B,DAI.DE,SPLK,TSCO,NFLX,AAL,FDX,AIR,CRM,BKNG,WFC,IRBT,MKS.L,RTN.L,ULVR.L,CAR,TWTR,WMT,NVDA,SNAP,UBER,PTON,BYND,OD7F.SG
8.819999694824219,118.02999877929688,79.5,53.9900016784668,48.400001525878906,52.20069885253906,332.79998779296875,36.56999969482422,1732.0,3.359999895095825,45.060001373291016,35.665000915527344,16.600000381469727,214.24661254882812,10.4399995803833,82.54000091552734,1258.0,486.6400146484375,,131.36570739746094,22.829999923706055,139.6999969482422,271.9700012207031,251.9499969482422,26.812883377075195,154.5399932861328,36.31999969482422,211.0800018310547,1746.780029296875,3105.4599609375,143.89999389648438,255.8300018310547,230.07000732421875,55.70000076293945,193.10000610351562,128.02862548828125,481.7900085449219,12.739999771118164,281.8687744140625,26.209999084472656,257.1600036621094,2044.5999755859375,25.059999465942383,75.5199966430664,132.1999969482422,70.5,4522.0,35.099998474121094,43.33000183105469,148.54701232910156,536.9913940429688,40.630001068115234,49.11000061035156,104.48999786376953,134.00999450683594,
8.819999694824219,118.63999938964844,69.69999694824219,54.029998779296875,44.20000076293945,52.71665573120117,335.0,37.13999938964844,1708.0,3.369999885559082,45.619998931884766,35.654998779296875,16.399999618530273,213.83901977539062,10.479999542236328,85.54000091552734,1226.0,499.2699890136719,,131.6451416015625,22.780000686645508,139.52999877929688,272.94000244140625,243.75,26.812883377075195,152.52000427246094,36.189998626708984,212.4199981689453,1763.9200439453125,3117.02001953125,141.72000122070312,259.8900146484375,229.52999877929688,55.06999969482422,199.27999877929688,130.84999084472656,484.6700134277344,12.789999961853027,279.2247009277344,26.5,264.6499938964844,2010.969970703125,26.15999984741211,77.93000030517578,130.75,65.25,4463.0,35.95000076293945,43.619998931884766,151.5659637451172,537.4512329101562,42.290000915527344,49.2599983215332,105.26000213623047,137.4199981689453,
8.739999771118164,117.33999633789062,73.30000305175781,55.29999923706055,46.09000015258789,52.260231018066406,333.20001220703125,37.029998779296875,1726.0,3.4100000858306885,45.38999938964844,35.814998626708984,15.850000381469727,212.82504272460938,10.550000190734863,84.63999938964844,1244.800048828125,489.6099853515625,,132.71298217773438,25.780000686645508,139.3000030517578,269.70001220703125,244.39999389648438,26.643936157226562,152.13999938964844,36.70000076293945,210.38999938964844,1742.18994140625,3099.39990234375,141.07000732421875,270.739990234375,227.00999450683594,55.52000045776367,198.94000244140625,129.6999969482422,488.239990234375,12.529999732971191,276.0717468261719,26.530000686645508,258.0400085449219,1992.77001953125,25.479999542236328,78.37999725341797,132.60000610351562,64.0999984741211,4456.0,34.790000915527344,44.68000030517578,149.6928253173828,523.3554077148438,44.290000915527344,48.43000030517578,110.9000015258789,136.55999755859375,
8.739999771118164,117.33999633789062,73.30000305175781,55.29999923706055,46.09000015258789,52.260231018066406,333.20001220703125,37.029998779296875,1726.0,3.4100000858306885,45.38999938964844,35.814998626708984,15.850000381469727,212.82504272460938,10.550000190734863,84.63999938964844,1244.800048828125,489.6099853515625,,132.71298217773438,25.780000686645508,139.3000030517578,269.70001220703125,244.39999389648438,26.643936157226562,152.13999938964844,36.70000076293945,210.38999938964844,1742.18994140625,3099.39990234375,141.07000732421875,270.739990234375,227.00999450683594,55.52000045776367,198.94000244140625,129.6999969482422,488.239990234375,12.529999732971191,276.0717468261719,26.530000686645508,258.0400085449219,1992.77001953125,25.479999542236328,78.37999725341797,132.60000610351562,64.0999984741211,4456.0,34.790000915527344,44.68000030517578,149.6928253173828,523.3554077148438,44.290000915527344,48.43000030517578,110.9000015258789,136.55999755859375,
8.739999771118164,117.33999633789062,73.30000305175781,55.29999923706055,46.09000015258789,52.260231018066406,333.20001220703125,37.029998779296875,1726.0,3.4100000858306885,45.38999938964844,35.814998626708984,15.850000381469727,212.82504272460938,10.550000190734863,84.63999938964844,1244.800048828125,489.6099853515625,,132.71298217773438,25.780000686645508,139.3000030517578,269.70001220703125,244.39999389648438,26.643936157226562,152.13999938964844,36.70000076293945,210.38999938964844,1742.18994140625,3099.39990234375,141.07000732421875,270.739990234375,227.00999450683594,55.52000045776367,198.94000244140625,129.6999969482422,488.239990234375,12.529999732971191,276.0717468261719,26.530000686645508,258.0400085449219,1992.77001953125,25.479999542236328,78.37999725341797,132.60000610351562,64.0999984741211,4456.0,34.790000915527344,44.68000030517578,149.6928253173828,523.3554077148438,44.290000915527344,48.43000030517578,110.9000015258789,136.55999755859375,
8.859999656677246,113.8499984741211,77.0,54.70000076293945,55.29999923706055,52.27015686035156,331.79998779296875,36.7400016784668,1772.0,3.2799999713897705,46.060001373291016,37.20000076293945,15.5,215.71786499023438,10.050000190734863,85.30999755859375,1299.0,521.8499755859375,,133.86068725585938,28.8700008392334,138.75999450683594,268.42999267578125,253.4499969482422,27.22034454345703,150.10000610351562,36.52000045776367,210.11000061035156,1734.8599853515625,3098.389892578125,145.97999572753906,270.1099853515625,229.5399932861328,56.0,198.11000061035156,133.8800048828125,476.6199951171875,13.5600004196167,285.7101745605469,29.25,257.6400146484375,2019.8399658203125,26.299999237060547,79.83999633789062,135.0500030517578,68.9000015258789,4367.0,37.0,44.939998626708984,150.3802947998047,525.4447631835938,45.2599983215332,50.040000915527344,112.05000305175781,140.9600067138672,
9.449999809265137,115.16999816894531,77.5,53.56999969482422,59.0,52.80595397949219,327.20001220703125,37.09000015258789,1845.0,3.2699999809265137,47.0099983215332,39.5,15.819999694824219,218.41184997558594,9.880000114440918,85.06999969482422,1373.4000244140625,555.3800048828125,,134.42953491210938,28.780000686645508,138.30999755859375,276.9200134277344,274.79998779296875,28.800495147705078,156.0,36.599998474121094,213.86000061035156,1768.8800048828125,3118.06005859375,151.49000549316406,279.9599914550781,233.9199981689453,57.95000076293945,198.49000549316406,134.02000427246094,482.8800048828125,14.819999694824219,291.02825927734375,29.829999923706055,260.8399963378906,2103.449951171875,28.610000610351562,77.66999816894531,140.3000030517578,66.80000305175781,4340.0,38.22999954223633,45.22999954223633,150.80874633789062,518.1569213867188,44.290000915527344,51.2599983215332,105.41999816894531,141.8300018310547,
9.079999923706055,116.02999877929688,76.55000305175781,52.599998474121094,55.0,52.518211364746094,324.20001220703125,37.22999954223633,1799.0,3.3299999237060547,47.04999923706055,38.130001068115234,16.329999923706055,218.0440216064453,9.9399995803833,86.70999908447266,1347.0,574.0,,135.26783752441406,27.850000381469727,138.67999267578125,275.5899963378906,267.54998779296875,28.850187301635742,152.33999633789062,36.529998779296875,213.8699951171875,1771.4300537109375,3185.070068359375,149.08999633789062,277.7200012207031,233.1300048828125,57.40999984741211,198.86000061035156,133.89999389648438,485.0,14.9399995803833,287.6557922363281,29.190000534057617,246.82000732421875,2063.800048828125,28.59000015258789,78.31999969482422,135.39999389648438,65.5,4560.0,37.56999969482422,46.43000030517578,151.27703857421875,529.233642578125,45.560001373291016,50.79999923706055,106.94000244140625,139.5800018310547,
9.079999923706055,116.02999877929688,74.25,52.599998474121094,55.20000076293945,52.518211364746094,324.79998779296875,37.22999954223633,1747.0,3.3299999237060547,47.04999923706055,37.31999969482422,16.329999923706055,218.0440216064453,9.9399995803833,86.70999908447266,1340.199951171875,574.0,,135.26783752441406,27.850000381469727,138.67999267578125,275.5899963378906,263.5,28.850187301635742,148.60000610351562,36.529998779296875,213.8699951171875,1771.4300537109375,3185.070068359375,149.08999633789062,277.7200012207031,233.1300048828125,56.09000015258789,198.86000061035156,133.89999389648438,485.0,14.9399995803833,287.6557922363281,29.190000534057617,246.82000732421875,2063.800048828125,28.59000015258789,78.31999969482422,130.1999969482422,69.5,4582.0,37.56999969482422,46.43000030517578,151.27703857421875,529.233642578125,45.560001373291016,50.79999923706055,106.94000244140625,139.5800018310547,
9.09000015258789,116.58999633789062,74.55000305175781,52.61000061035156,58.70000076293945,52.290000915527344,329.3999938964844,37.06999969482422,1738.0,3.3399999141693115,47.45000076293945,37.29499816894531,16.8799991607666,217.04000854492188,10.050000190734863,87.19000244140625,1339.4000244140625,585.760009765625,,133.98043823242188,27.18000030517578,138.61000061035156,277.80999755859375,262.8999938964844,28.810434341430664,145.9199981689453,37.22999954223633,215.22999572753906,1793.18994140625,3195.340087890625,147.1300048828125,276.4800109863281,231.5500030517578,56.59000015258789,204.02999877929688,139.3699951171875,491.3599853515625,14.979999542236328,286.7677917480469,29.56999969482422,247.6300048828125,2052.669921875,28.459999084472656,79.12999725341797,127.4000015258789,68.9000015258789,4586.0,37.029998779296875,46.59000015258789,151.04788208007812,530.2933349609375,46.029998779296875,50.720001220703125,108.9800033569336,142.1999969482422,
