VHYL.L,AMZN,BP.L,V,AAPL,BRKB
53.005001068115234,3137.389892578125,243.0500030517578,212.37998962402344,119.48999786376953,
52.68000030517578,3110.280029296875,237.8000030517578,208.25999450683594,119.20999908447266,
48.21500015258789,3128.81005859375,236.89999389648438,210.47999572753906,119.26000213623047,
48.21500015258789,3128.81005859375,236.89999389648438,210.47999572753906,119.26000213623047,
48.21500015258789,3128.81005859375,236.89999389648438,210.47999572753906,119.26000213623047,
53.849998474121094,3131.06005859375,250.75,212.6999969482422,120.30000305175781,
53.83000183105469,3135.659912109375,251.6999969482422,210.7100067138672,119.38999938964844,
54.0724983215332,3105.4599609375,251.9499969482422,207.8300018310547,118.02999877929688,
53.369998931884766,3117.02001953125,243.75,207.57000732421875,118.63999938964844,
45.08000183105469,3099.39990234375,244.39999389648438,203.8800048828125,117.33999633789062,
45.08000183105469,3099.39990234375,244.39999389648438,203.8800048828125,117.33999633789062,
45.08000183105469,3099.39990234375,244.39999389648438,203.8800048828125,117.33999633789062,
53.77750015258789,3098.389892578125,253.4499969482422,208.16000366210938,113.8499984741211,
54.79750061035156,3118.06005859375,274.79998779296875,209.67999267578125,115.16999816894531,
54.79750061035156,3185.070068359375,267.54998779296875,210.88999938964844,116.02999877929688,
54.79750061035156,3185.070068359375,263.5,210.88999938964844,116.02999877929688,
49.775001525878906,3195.340087890625,262.8999938964844,211.0,116.58999633789062,
49.775001525878906,3195.340087890625,262.8999938964844,211.0,116.58999633789062,
49.775001525878906,3195.340087890625,262.8999938964844,211.0,116.58999633789062,
54.04750061035156,3168.0400390625,247.64999389648438,210.35000610351562,119.05000305175781,
54.575401306152344,3220.080078125,255.0500030517578,211.1999969482422,122.72000122070312,
55.04750061035156,3203.530029296875,267.1499938964844,210.17999267578125,123.08000183105469,
55.51499938964844,3186.72998046875,266.5,208.0500030517578,122.94000244140625,
41.33000183105469,3186.72998046875,276.54998779296875,208.0500030517578,122.94000244140625,
