AAPL,AIG,AML.L,AMZN,BHC,BP,EUE.L,FB,HSBA.L,HDLV.L,IAG.L,NKE,MCD,KO,DIS,WMT,v,VHYL.L,UKDV.L,IUKP.L,PHGP.L,VEUR.L,EXS1.DE,VUSA.L,BRKB,VFEM.L,VWRL.L,VUKG.L,EXW1.DE,IITU.L,CNDX.L,CNX1.L,BARC.L,RDSA.L,TSCO.L,ISF.L,INRG.L,IGLN.L,NKLA,TSLA
115.54000091552734,28.610000610351562,58.54999923706055,3156.1298828125,16.260000228881836,19.65999984741211,33.78089904785156,272.4200134277344,322.79998779296875,26.549999237060547,133.39999389648438,119.2699966430664,222.3699951171875,51.04999923706055,131.24000549316406,137.36000061035156,205.38999938964844,43.09000015258789,10.218000411987305,4.976799964904785,14409.5,,112.72000122070312,50.51499938964844,,51.310001373291016,74.25,26.825000762939453,33.4900016784668,1138.0,645.75,,102.63999938964844,1081.0,219.8000030517578,,,,32.83000183105469,449.760009765625
112.12999725341797,29.770000457763672,58.900001525878906,3078.10009765625,16.8799991607666,19.959999084472656,33.84709930419922,263.5199890136719,317.0,26.71500015258789,132.1999969482422,118.58999633789062,224.80999755859375,50.790000915527344,132.08999633789062,136.25999450683594,205.1300048828125,43.07500076293945,10.154999732971191,4.992000102996826,14381.5,,112.81999969482422,50.07619857788086,,51.36000061035156,73.65499877929688,26.65999984741211,33.400001525878906,1120.0,644.0,,102.95999908447266,1072.0,215.8000030517578,,,,33.279998779296875,441.760009765625
110.33999633789062,28.700000762939453,59.20000076293945,3008.72998046875,17.3799991607666,19.559999465942383,33.62179946899414,254.82000732421875,310.79998779296875,26.25,129.4499969482422,116.36000061035156,222.5800018310547,50.54999923706055,130.22000122070312,136.69000244140625,205.27000427246094,42.810001373291016,10.164999961853027,5.0432000160217285,14261.0,,112.77999877929688,49.38750076293945,,51.0,72.95500183105469,26.577499389648438,33.36000061035156,1100.25,625.77001953125,,100.54000091552734,1052.4000244140625,215.1999969482422,,,,33.83000183105469,423.42999267578125
106.83999633789062,27.989999771118164,57.25,2954.909912109375,17.190000534057617,18.8799991607666,33.28879928588867,252.52999877929688,304.0,26.020000457763672,110.55000305175781,114.66000366210938,220.27000427246094,50.45000076293945,128.6300048828125,135.2899932861328,202.61000061035156,42.90999984741211,10.161999702453613,4.954899787902832,14313.5,,112.23999786376953,48.96500015258789,,51.130001068115234,72.62999725341797,26.387500762939453,33.095001220703125,1081.0,617.6300048828125,,97.41999816894531,1034.5999755859375,219.60000610351562,,,,34.189998626708984,442.1499938964844
106.83999633789062,27.989999771118164,57.25,2954.909912109375,17.190000534057617,18.8799991607666,33.28879928588867,252.52999877929688,304.0,26.020000457763672,110.55000305175781,114.66000366210938,220.27000427246094,50.45000076293945,128.6300048828125,135.2899932861328,202.61000061035156,42.90999984741211,10.161999702453613,4.954899787902832,14313.5,,112.23999786376953,48.96500015258789,,51.130001068115234,72.62999725341797,26.387500762939453,33.095001220703125,1081.0,617.6300048828125,,97.41999816894531,1034.5999755859375,219.60000610351562,,,,34.189998626708984,442.1499938964844
106.83999633789062,27.989999771118164,57.25,2954.909912109375,17.190000534057617,18.8799991607666,33.28879928588867,252.52999877929688,304.0,26.020000457763672,110.55000305175781,114.66000366210938,220.27000427246094,50.45000076293945,128.6300048828125,135.2899932861328,202.61000061035156,42.90999984741211,10.161999702453613,4.954899787902832,14313.5,,112.23999786376953,48.96500015258789,,51.130001068115234,72.62999725341797,26.387500762939453,33.095001220703125,1081.0,617.6300048828125,,97.41999816894531,1034.5999755859375,219.60000610351562,,,,34.189998626708984,442.1499938964844
110.08000183105469,26.979999542236328,53.25,2960.469970703125,16.520000457763672,18.31999969482422,33.28879928588867,248.14999389648438,288.0,24.967500686645508,97.19999694824219,113.37000274658203,216.41000366210938,49.09000015258789,125.41000366210938,137.07000732421875,197.4499969482422,48.84000015258789,9.638999938964844,480.70001220703125,14313.5,,112.23999786376953,48.96500015258789,,58.74250030517578,72.62999725341797,25.43000030517578,33.095001220703125,13.725000381469727,617.6300048828125,,92.16000366210938,1004.7999877929688,225.5,,,,27.579999923706055,449.3900146484375
111.80999755859375,27.34000015258789,52.20000076293945,3128.989990234375,16.040000915527344,18.479999542236328,33.28879928588867,254.75,287.1000061035156,25.012500762939453,102.0,116.87000274658203,216.41000366210938,49.65999984741211,127.20999908447266,138.30999755859375,200.55999755859375,48.875,9.672499656677246,480.25,14313.5,,112.23999786376953,48.96500015258789,,58.77750015258789,72.62999725341797,25.657499313354492,33.095001220703125,14.0600004196167,617.6300048828125,,91.97000122070312,1033.800048828125,225.89999389648438,,,,28.510000228881836,424.2300109863281
107.12000274658203,26.43000030517578,51.54999923706055,2999.860107421875,15.739999771118164,17.969999313354492,33.28879928588867,249.02000427246094,290.25,24.889999389648438,100.5999984741211,127.11000061035156,214.97000122070312,48.209999084472656,123.27999877929688,135.99000549316406,195.3699951171875,49.064998626708984,9.734999656677246,476.79998779296875,14313.5,,112.23999786376953,48.96500015258789,,58.5724983215332,72.62999725341797,25.899999618530273,33.095001220703125,14.164999961853027,617.6300048828125,,92.9000015258789,1031.199951171875,223.8000030517578,,,,21.149999618530273,380.3599853515625
108.22000122070312,26.479999542236328,49.540000915527344,3019.7900390625,15.220000267028809,17.93000030517578,33.28879928588867,249.52999877929688,286.70001220703125,24.302499771118164,95.23999786376953,124.75,216.1199951171875,48.70000076293945,122.48999786376953,136.6999969482422,195.52000427246094,47.779998779296875,9.660499572753906,472.5,14313.5,,112.23999786376953,48.96500015258789,,57.157501220703125,72.62999725341797,25.510000228881836,33.095001220703125,14.010000228881836,617.6300048828125,,92.87000274658203,1014.0,219.10000610351562,,,,19.100000381469727,387.7900085449219
