AAPL,AIG,AML.L,AMZN,BHC,BP,EUE.L,FB,HSBA.L,HDLV.L,IAG.L,NKE,MCD,KO,DIS,WMT,V,UKDV.L,IUKP.L,PHGP.L,VEUR.L,EXS1.DE,VUSA.L,BRKB,VWRL.L,VUKG.L,IITU.L,CNDX.L,CNX1.L,BARC.L,RDSA.L,TSCO.L,EXW1.DE,ISF.L,INRG.L,NKLA,TSLA,VOD.L,AZN.L,GSK.L,IBM,PH,VZ,FDX,UBER,PTON,NIO,NFLX,BYND,GOOG,GOOGL,TWTR,BABA,WORK,NVDA,SNAP,PMO,RKT,SPCE
106.83999633789062,27.989999771118164,57.25,2954.909912109375,17.190000534057617,18.8799991607666,33.28879928588867,252.52999877929688,304.0,26.020000457763672,110.55000305175781,114.66000366210938,220.27000427246094,50.45000076293945,128.6300048828125,135.2899932861328,202.61000061035156,10.161999702453613,4.954899787902832,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,26.387500762939453,1081.0,617.6300048828125,,97.41999816894531,1034.5999755859375,219.60000610351562,33.095001220703125,,,34.189998626708984,442.1499938964844,107.66000366210938,8746.0,1525.5999755859375,122.76000213623047,208.41000366210938,59.714202880859375,242.77999877929688,37.119998931884766,89.69999694824219,19.40999984741211,469.9599914550781,149.0399932861328,1459.989990234375,1451.0899658203125,40.150001525878906,272.4100036621094,25.510000228881836,487.57000732421875,23.81999969482422,13.26688003540039,22.270000457763672,17.209999084472656
106.83999633789062,27.989999771118164,57.25,2954.909912109375,17.190000534057617,18.8799991607666,33.28879928588867,252.52999877929688,304.0,26.020000457763672,110.55000305175781,114.66000366210938,220.27000427246094,50.45000076293945,128.6300048828125,135.2899932861328,202.61000061035156,10.161999702453613,4.954899787902832,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,26.387500762939453,1081.0,617.6300048828125,,97.41999816894531,1034.5999755859375,219.60000610351562,33.095001220703125,,,34.189998626708984,442.1499938964844,107.66000366210938,8746.0,1525.5999755859375,122.76000213623047,208.41000366210938,59.714202880859375,242.77999877929688,37.119998931884766,89.69999694824219,19.40999984741211,469.9599914550781,149.0399932861328,1459.989990234375,1451.0899658203125,40.150001525878906,272.4100036621094,25.510000228881836,487.57000732421875,23.81999969482422,13.26688003540039,22.270000457763672,17.209999084472656
106.83999633789062,27.989999771118164,57.25,2954.909912109375,17.190000534057617,18.8799991607666,33.28879928588867,252.52999877929688,304.0,26.020000457763672,110.55000305175781,114.66000366210938,220.27000427246094,50.45000076293945,128.6300048828125,135.2899932861328,202.61000061035156,10.161999702453613,4.954899787902832,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,26.387500762939453,1081.0,617.6300048828125,,97.41999816894531,1034.5999755859375,219.60000610351562,33.095001220703125,,,34.189998626708984,442.1499938964844,107.66000366210938,8746.0,1525.5999755859375,122.76000213623047,208.41000366210938,59.714202880859375,242.77999877929688,37.119998931884766,89.69999694824219,19.40999984741211,469.9599914550781,149.0399932861328,1459.989990234375,1451.0899658203125,40.150001525878906,272.4100036621094,25.510000228881836,487.57000732421875,23.81999969482422,13.26688003540039,22.270000457763672,17.209999084472656
110.08000183105469,26.979999542236328,53.25,2960.469970703125,16.520000457763672,18.31999969482422,33.28879928588867,248.14999389648438,288.0,24.967500686645508,97.19999694824219,113.37000274658203,216.41000366210938,49.09000015258789,125.41000366210938,137.07000732421875,197.4499969482422,9.638999938964844,480.70001220703125,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,25.43000030517578,13.725000381469727,617.6300048828125,,92.16000366210938,1004.7999877929688,225.5,33.095001220703125,,,27.579999923706055,449.3900146484375,103.26000213623047,8612.0,1487.5999755859375,120.25,198.99000549316406,58.98200225830078,238.74000549316406,36.4900016784668,94.80000305175781,18.809999465942383,487.3500061035156,148.8000030517578,1431.1600341796875,1430.1400146484375,39.900001525878906,273.82000732421875,26.670000076293945,500.69000244140625,23.8799991607666,13.26688003540039,21.420000076293945,16.479999542236328
111.80999755859375,27.34000015258789,52.20000076293945,3128.989990234375,16.040000915527344,18.479999542236328,33.28879928588867,254.75,287.1000061035156,25.012500762939453,102.0,116.87000274658203,216.41000366210938,49.65999984741211,127.20999908447266,138.30999755859375,200.55999755859375,9.672499656677246,480.25,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,25.657499313354492,14.0600004196167,617.6300048828125,,91.97000122070312,1033.800048828125,225.89999389648438,33.095001220703125,,,28.510000228881836,424.2300109863281,103.9800033569336,8580.0,1479.5999755859375,120.51000213623047,200.6300048828125,59.189788818359375,243.4199981689453,34.400001525878906,94.38999938964844,19.229999542236328,491.1700134277344,153.82000732421875,1465.4599609375,1459.8199462890625,42.72999954223633,275.2900085449219,26.40999984741211,505.510009765625,25.469999313354492,13.23699951171875,21.56999969482422,16.469999313354492
107.12000274658203,26.43000030517578,51.54999923706055,2999.860107421875,15.739999771118164,17.969999313354492,33.28879928588867,249.02000427246094,290.25,24.889999389648438,100.5999984741211,127.11000061035156,214.97000122070312,48.209999084472656,123.27999877929688,135.99000549316406,195.3699951171875,9.734999656677246,476.79998779296875,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,25.899999618530273,14.164999961853027,617.6300048828125,,92.9000015258789,1031.199951171875,223.8000030517578,33.095001220703125,,,21.149999618530273,380.3599853515625,104.41999816894531,8812.0,1493.4000244140625,118.83000183105469,195.47000122070312,58.28937530517578,241.4199981689453,33.54999923706055,95.2300033569336,17.959999084472656,470.6099853515625,150.57000732421875,1415.2099609375,1409.3900146484375,45.33000183105469,272.95001220703125,26.3700008392334,484.95001220703125,25.3700008392334,13.119999885559082,20.299999237060547,15.729999542236328
108.22000122070312,26.479999542236328,49.540000915527344,3019.7900390625,15.220000267028809,17.93000030517578,33.28879928588867,249.52999877929688,286.70001220703125,24.302499771118164,95.23999786376953,124.75,216.1199951171875,48.70000076293945,122.48999786376953,136.6999969482422,195.52000427246094,9.660499572753906,472.5,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,25.510000228881836,14.010000228881836,617.6300048828125,,92.87000274658203,1014.0,219.10000610351562,33.095001220703125,,,19.100000381469727,387.7900085449219,103.83999633789062,8559.0,1456.4000244140625,118.08999633789062,195.9199981689453,58.56642532348633,244.22000122070312,33.349998474121094,88.55999755859375,17.850000381469727,473.0799865722656,147.89999389648438,1428.2900390625,1422.8599853515625,43.13999938964844,269.7300109863281,26.59000015258789,493.9200134277344,24.31999969482422,13.050000190734863,20.059999465942383,15.920000076293945
112.27999877929688,27.06999969482422,50.0,3095.1298828125,15.300000190734863,17.860000610351562,33.28879928588867,254.82000732421875,283.3500061035156,24.302499771118164,94.63999938964844,124.2300033569336,218.17999267578125,48.720001220703125,124.0,137.27000427246094,197.25,9.660499572753906,472.5,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,25.510000228881836,14.010000228881836,617.6300048828125,,91.55000305175781,1004.7999877929688,216.0,33.095001220703125,,,19.459999084472656,407.3399963378906,103.80000305175781,8576.0,1474.4000244140625,118.94999694824219,199.97999572753906,58.764320373535156,250.1699981689453,34.459999084472656,97.7300033569336,18.31999969482422,482.8800048828125,155.02000427246094,1444.9599609375,1439.06005859375,43.84000015258789,271.0899963378906,27.25,514.9500122070312,24.690000534057617,13.0,20.520000457763672,16.43000030517578
112.27999877929688,27.06999969482422,50.0,3095.1298828125,15.300000190734863,17.860000610351562,33.28879928588867,254.82000732421875,283.3500061035156,24.302499771118164,94.63999938964844,124.2300033569336,218.17999267578125,48.720001220703125,124.0,137.27000427246094,197.25,9.660499572753906,472.5,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,25.510000228881836,14.010000228881836,617.6300048828125,,91.55000305175781,1004.7999877929688,216.0,33.095001220703125,,,19.459999084472656,407.3399963378906,103.80000305175781,8576.0,1474.4000244140625,118.94999694824219,199.97999572753906,58.764320373535156,250.1699981689453,34.459999084472656,97.7300033569336,18.31999969482422,482.8800048828125,155.02000427246094,1444.9599609375,1439.06005859375,43.84000015258789,271.0899963378906,27.25,514.9500122070312,24.690000534057617,13.0,20.520000457763672,16.43000030517578
112.27999877929688,27.06999969482422,50.0,3095.1298828125,15.300000190734863,17.860000610351562,33.28879928588867,254.82000732421875,283.3500061035156,24.302499771118164,94.63999938964844,124.2300033569336,218.17999267578125,48.720001220703125,124.0,137.27000427246094,197.25,9.660499572753906,472.5,14313.5,,112.23999786376953,48.96500015258789,,72.62999725341797,25.510000228881836,14.010000228881836,617.6300048828125,,91.55000305175781,1004.7999877929688,216.0,33.095001220703125,,,19.459999084472656,407.3399963378906,103.80000305175781,8576.0,1474.4000244140625,118.94999694824219,199.97999572753906,58.764320373535156,250.1699981689453,34.459999084472656,97.7300033569336,18.31999969482422,482.8800048828125,155.02000427246094,1444.9599609375,1439.06005859375,43.84000015258789,271.0899963378906,27.25,514.9500122070312,24.690000534057617,13.0,20.520000457763672,16.43000030517578
